[10:26:40] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:26:40] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:26:41] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:26:41] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:26:52] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:26:52] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:26:52] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:26:53] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:26:53] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:26:56] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:26:56] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:26:56] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:26:56] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:26:56] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:27:38] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:27:38] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:27:38] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:27:39] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:27:39] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:28:07] | 200 | ::1 | Anonymous | GET: /production/productionProcessess
[10:28:07] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:07] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:09] | 200 | ::1 | Anonymous | GET: /production/productionProcessess
[10:28:09] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:09] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:10] | 200 | ::1 | Anonymous | GET: /production/productionProcessess
[10:28:10] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:10] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:10] | 200 | ::1 | Anonymous | GET: /production/productionProcessess
[10:28:10] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:10] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:11] | 200 | ::1 | Anonymous | GET: /production/productionProcessess
[10:28:11] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:11] | 404 | ::1 | Anonymous | GET: /imgs/avatars/
[10:28:20] | 302 | ::1 | Anonymous | GET: /production/dashboard/logout
[10:28:20] | 200 | ::1 | Anonymous | GET: /home/login?ReturnUrl=%2Fproduction%2Fdashboard%2Flogout
[10:28:27] | 302 | ::1 | Anonymous | POST: /home/login?returnurl=%2Fproduction%2Fdashboard%2Flogout
[10:28:27] | 302 | ::1 | 0789 | GET: /production/dashboard/logout
[10:28:27] | 302 | ::1 | Anonymous | GET: /production/dashboard/Index
[10:28:27] | 200 | ::1 | Anonymous | GET: /home/login?ReturnUrl=%2Fproduction%2Fdashboard%2FIndex
[10:28:33] | 302 | ::1 | Anonymous | POST: /home/login?returnurl=%2Fproduction%2Fdashboard%2FIndex
[10:28:33] | 200 | ::1 | 0789 | GET: /production/dashboard/Index
[10:28:35] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:28:40] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:28:40] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:28:40] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:28:40] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:29:51] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:29:52] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[10:29:54] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:29:58] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:30:09] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:30:34] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:30:37] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[10:30:37] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[10:30:38] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:30:40] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:30:43] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:30:47] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
